Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
156,9.3,1,0.016047301,4,249.8092,9,1999,1,0,1,3735.138
8,5.92,2,0.019278216,14,48.2692,3,2009,1,2,2,443.4228
662,17.5,1,0.016760075,10,141.618,9,1999,1,0,1,2097.27
1121,19.2,2,0.0,6,182.095,0,1998,1,2,0,732.38
1297,8.93,1,0.0,9,53.8614,1,1987,0,2,1,994.7052
758,10.395,2,0.0,0,51.4008,3,2009,1,2,2,556.6088
696,13.65,2,0.012741089,13,57.6588,1,1987,0,2,1,343.5528
738,12.792854228644284,1,0.127469857,13,107.7622,5,1985,1,2,3,4022.7636
440,16.2,2,0.016687114,5,96.9726,7,2002,1,1,1,1076.5986
990,19.2,2,0.09444959,5,187.8214,2,2007,1,1,1,4710.535
1171,11.8,1,0.0,6,45.5402,9,1999,1,0,1,1516.0266
147,18.5,2,0.045463773,4,144.1102,8,1997,2,0,1,2187.153
1142,15.1,2,0.1000135,6,145.4786,9,1999,1,0,1,1589.2646
904,17.6,2,0.047257328,13,119.6782,8,1997,2,0,1,2145.2076
375,16.35,1,0.0680243,6,196.4426,1,1987,0,2,1,1977.426
767,9.0,2,0.069088961,2,56.3614,8,1997,2,0,1,1547.3192
1280,11.8,1,0.008596051,8,115.3492,3,2009,1,2,2,1621.8888
767,9.0,2,0.069196376,2,54.3614,9,1999,1,0,1,718.3982
79,12.792854228644284,1,0.034237682,7,113.2834,5,1985,1,2,3,2303.668
968,13.35,1,0.10249212,4,230.5352,6,2004,2,1,1,2748.4224
666,18.85,2,0.138190277,13,250.8724,1,1987,0,2,1,3775.086
1076,12.792854228644284,2,0.035399923,0,144.5444,5,1985,1,2,3,4064.0432
1278,14.6,1,0.025698134,9,196.5084,6,2004,2,1,1,1587.2672
259,12.792854228644284,1,0.057556998,0,107.6938,4,1985,2,0,0,214.3876
843,13.85,2,0.025896485,5,165.021,8,1997,2,0,1,4078.025
1294,13.0,1,0.099887103,9,45.906,2,2007,1,1,1,838.908
1024,7.645,2,0.066693437,13,42.3112,6,2004,2,1,1,1065.28
101,11.65,3,0.019356132,7,39.1164,1,1987,0,2,1,308.9312
350,5.925,2,0.161466534,4,45.5086,0,1998,1,2,0,178.4344
244,12.792854228644284,2,0.072221801,3,43.6454,4,1985,2,0,0,125.8362
1048,19.25,1,0.170348551,4,55.7956,0,1998,1,2,0,163.7868
1480,18.6,1,0.080829372,8,96.4436,3,2009,1,2,2,2741.7644
756,18.7,1,0.0,13,256.6672,3,2009,1,2,2,3068.0064
706,17.85,1,0.0,1,93.1436,7,2002,1,1,1,2174.5028
64,17.5,1,0.097904029,14,174.8738,8,1997,2,0,1,2085.2856
1533,10.0,1,0.089291137,8,146.7102,9,1999,1,0,1,3791.0652
1032,12.792854228644284,2,0.059511812,6,128.0678,5,1985,1,2,3,2797.6916
143,8.85,2,0.113123893,14,122.5388,3,2009,1,2,2,1609.9044
1124,12.792854228644284,2,0.123111453,13,36.9874,5,1985,1,2,3,388.1614
214,12.792854228644284,1,0.026480954,13,87.6198,5,1985,1,2,3,2180.495
968,13.35,1,0.102511504,4,230.6352,8,1997,2,0,1,3435.528
567,9.8,1,0.02681843,10,126.002,1,1987,0,2,1,2150.534
180,13.6,1,0.117818348,13,192.9136,9,1999,1,0,1,2527.3768
236,21.35,1,0.069102831,3,259.9278,3,2009,1,2,2,6768.5228
611,12.15,2,0.042277867,3,126.5046,1,1987,0,2,1,373.5138
641,6.42,0,0.089498926,4,178.1002,0,1998,1,2,0,358.2004
1438,19.6,1,0.0,8,153.3024,7,2002,1,1,1,2428.8384
1057,10.0,1,0.025879577,3,265.2226,7,2002,1,1,1,5815.0972
586,15.85,2,0.121632721,0,60.622,8,1997,2,0,1,2576.646
869,12.792854228644284,2,0.255394896,4,196.8794,4,1985,2,0,0,780.3176
1378,7.39,1,0.067779712,8,143.8812,8,1997,2,0,1,3134.5864
642,10.195,1,0.159803853,5,141.5154,1,1987,0,2,1,850.8924
830,9.895,2,0.028696932,3,117.0492,1,1987,0,2,1,810.9444
177,10.895,1,0.065041581,6,196.3794,2,2007,1,1,1,3121.2704
1442,12.15,1,0.028760013,9,151.4708,2,2007,1,1,1,4815.0656
553,7.905,1,0.010053105,13,249.0408,3,2009,1,2,2,6258.52
1538,9.195,1,0.048157338,9,106.1622,7,2002,1,1,1,2117.244
107,8.365,1,0.071958197,7,38.0506,9,1999,1,0,1,796.9626
1183,15.1,1,0.173481304,13,194.511,8,1997,2,0,1,4910.275
485,12.792854228644284,1,0.061082177,3,180.0344,4,1985,2,0,0,892.172
629,10.0,1,0.0,6,246.9144,3,2009,1,2,2,3185.1872
1039,7.97,2,0.040071131,10,87.3514,7,2002,1,1,1,1062.6168
361,12.792854228644284,1,0.012090074,6,38.2848,5,1985,1,2,3,484.7024
1199,12.792854228644284,2,0.15028599,5,51.0692,4,1985,2,0,0,147.8076
1202,12.792854228644284,1,0.026015519,13,255.8356,5,1985,1,2,3,2543.356
266,17.7,0,0.195068226,13,185.4266,0,1998,1,2,0,184.4266
441,19.35,1,0.033082215,10,172.5738,6,2004,2,1,1,4865.6664
1218,13.65,2,0.078946455,4,186.024,7,2002,1,1,1,1118.544
72,17.6,1,0.041700756,14,164.8526,7,2002,1,1,1,2302.3364
1343,8.645,1,0.143422643,8,95.841,8,1997,2,0,1,2027.361
541,15.6,2,0.105296072,13,170.1764,8,1997,2,0,1,3435.528
586,15.85,2,0.121531501,0,59.222,1,1987,0,2,1,599.22
453,18.25,1,0.0,15,164.7526,7,2002,1,1,1,4604.6728
